marca,carrera,pr1,pr2,pr3,pr4,pr5,pr6,pr7,pr8,pr9,pr10,pr11,pr12,pr13,pr14,pr15,pr16,pr17,pr18,pr19,pr20,pr21,pr22,pr23,pr24,pr25,pr26,pr27,pr28,pr29,pr30,pr31,pr32,pr33,email,genero,semestre,promedio,generoNum,carreraNum,semestreNum,promedioNum
6/3/2019 9:36:40,Informática,3,2,4,2,2,4,5,3,4,6,6,6,6,6,6,6,6,6,6,4,3,4,1,2,1,1,6,4,5,5,5,6,6, ,Mujer,Doceavo semestre y superior,de 86 a 90,2,9,12,5
6/3/2019 9:43:30,Administración,4,3,4,3,2,2,2,1,4,6,5,5,2,3,2,1,4,2,5,1,1,1,1,1,1,1,5,1,3,5,5,1,3, ,Mujer,Sexto semestre,de 81 a 85,2,1,6,4
6/3/2019 9:43:41,Bioquímica,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,3,2,2,2,2,5,2,2,4,3,5,3,4,6,4, ,Hombre,Onceavo semestre,de 76 a 80,1,3,11,3
6/3/2019 9:55:32,Administración,4,3,4,4,3,3,5,4,4,5,5,6,5,5,5,5,4,6,5,4,2,1,1,3,1,1,3,2,1,1,3,6,6, ,Hombre,Cuarto semestre,de 96 a 100,1,1,4,7
6/3/2019 10:09:13,Química,5,4,5,5,6,6,6,6,5,6,6,4,6,6,6,5,3,6,5,3,3,4,3,3,1,1,5,4,6,4,4,5,4, ,Mujer,Sexto semestre,de 91 a 95,2,12,6,6
6/3/2019 10:53:48,Informática,3,3,3,2,1,2,2,2,2,5,5,6,6,6,6,6,6,6,6,5,2,2,4,3,2,2,3,2,4,2,1,1,3, ,Hombre,Segundo semestre,Menos de 70,1,9,2,1
6/3/2019 11:03:36,Industrial,6,6,6,5,5,5,5,5,5,6,6,6,6,6,6,5,6,6,5,6,5,6,6,6,4,5,6,6,6,6,6,6,6, ,Mujer,Noveno semestre,de 81 a 85,2,8,9,4
6/3/2019 11:08:20,Química,3,2,2,1,1,1,2,1,1,5,5,6,5,5,4,4,4,4,4,3,1,2,1,1,1,1,1,2,2,1,1,2,1, ,Hombre,Octavo semestre,de 86 a 90,1,12,8,5
6/3/2019 11:15:02,Civil,5,5,5,4,4,3,3,3,4,6,6,6,6,6,6,5,6,6,5,5,5,2,2,6,1,1,5,6,6,6,6,6,6, ,Hombre,Décimo semestre,de 81 a 85,1,4,10,4
6/3/2019 11:23:01,Química,5,4,5,4,5,5,5,4,5,5,6,6,5,5,5,4,6,5,5,5,5,5,4,5,4,2,5,5,5,5,5,6,5, ,Hombre,Noveno semestre,de 86 a 90,1,12,9,5
6/3/2019 11:45:55,Informática,4,4,5,4,4,4,4,4,4,6,6,6,5,4,6,5,5,5,6,4,5,5,5,5,3,3,4,4,4,4,4,6,6, ,Hombre,Octavo semestre,de 81 a 85,1,9,8,4
6/3/2019 11:46:17,Mecatrónica,4,4,4,4,3,3,3,4,4,5,5,1,5,4,5,5,4,1,6,6,2,4,3,5,3,3,4,3,4,4,4,5,2, ,Hombre,Onceavo semestre,de 81 a 85,1,11,11,4
6/3/2019 12:10:04,Química,4,5,3,1,4,4,4,5,3,5,5,5,3,2,4,3,3,4,3,3,2,2,1,1,1,2,3,1,1,2,1,1,1, ,Hombre,Octavo semestre,de 81 a 85,1,12,8,4
6/3/2019 14:01:56,Sistemas Computacionales,4,3,2,1,4,2,4,2,3,5,4,4,3,6,4,2,4,5,4,4,4,6,2,3,1,4,4,4,6,2,3,5,2, ,Mujer,Décimo semestre,de 91 a 95,2,13,10,6
6/3/2019 14:41:48,Química,5,3,4,5,5,4,6,5,4,6,5,4,5,5,5,5,5,5,6,6,6,2,4,4,4,5,5,5,5,4,5,6,5, ,Hombre,Octavo semestre,de 86 a 90,1,12,8,5
6/3/2019 14:51:23,Química,3,2,3,4,3,2,3,2,4,3,3,2,4,3,2,1,3,4,4,4,4,3,2,4,2,2,4,3,4,4,3,4,2, ,Mujer,Noveno semestre,de 86 a 90,2,12,9,5
6/3/2019 15:13:28,Administración,3,3,2,3,4,2,2,2,4,5,5,4,5,5,5,5,5,5,5,3,2,2,1,4,1,1,4,3,4,4,3,4,3, ,Mujer,Décimo semestre,de 81 a 85,2,1,10,4
6/3/2019 17:12:18,Sistemas Computacionales,3,3,3,3,4,3,4,2,2,4,3,4,5,4,3,3,2,5,5,4,3,4,3,4,2,2,4,3,3,3,2,3,2, ,Hombre,Décimo semestre,de 86 a 90,1,13,10,5
